Number	Sample_name	Genome_file	Coverage	Read_count	Error_rate	MAF	Fastq_basename	Seed
1	NeST_insilico	mdr.fa	100	4010	0.001	0.5	NeST_insilico2909162	2909162
2	NeST_insilico	mdr.fa	500	20051	0.001	0.5	NeST_insilico1719472	1719472
3	NeST_insilico	mdr.fa	1000	40102	0.001	0.5	NeST_insilico1097363	1097363
4	NeST_insilico	mdr.fa	100	4010	0.001	0.25	NeST_insilico5621164	5621164
5	NeST_insilico	mdr.fa	500	20051	0.001	0.25	NeST_insilico1144599	1144599
6	NeST_insilico	mdr.fa	1000	40102	0.001	0.25	NeST_insilico620452	620452
7	NeST_insilico	mdr.fa	100	4010	0.001	0.1	NeST_insilico9030415	9030415
8	NeST_insilico	mdr.fa	500	20051	0.001	0.1	NeST_insilico5842158	5842158
9	NeST_insilico	mdr.fa	1000	40102	0.001	0.1	NeST_insilico1839323	1839323
10	NeST_insilico	mdr.fa	100	4010	0.001	0.05	NeST_insilico4702309	4702309
11	NeST_insilico	mdr.fa	500	20051	0.001	0.05	NeST_insilico1887444	1887444
12	NeST_insilico	mdr.fa	1000	40102	0.001	0.05	NeST_insilico3368723	3368723
13	NeST_insilico	mdr.fa	100	4010	0.005	0.5	NeST_insilico7662608	7662608
14	NeST_insilico	mdr.fa	500	20051	0.005	0.5	NeST_insilico9742908	9742908
15	NeST_insilico	mdr.fa	1000	40102	0.005	0.5	NeST_insilico2478604	2478604
16	NeST_insilico	mdr.fa	100	4010	0.005	0.25	NeST_insilico3752379	3752379
17	NeST_insilico	mdr.fa	500	20051	0.005	0.25	NeST_insilico7159568	7159568
18	NeST_insilico	mdr.fa	1000	40102	0.005	0.25	NeST_insilico364086	364086
19	NeST_insilico	mdr.fa	100	4010	0.005	0.1	NeST_insilico4272628	4272628
20	NeST_insilico	mdr.fa	500	20051	0.005	0.1	NeST_insilico1931400	1931400
21	NeST_insilico	mdr.fa	1000	40102	0.005	0.1	NeST_insilico7847861	7847861
22	NeST_insilico	mdr.fa	100	4010	0.005	0.05	NeST_insilico696889	696889
23	NeST_insilico	mdr.fa	500	20051	0.005	0.05	NeST_insilico9721029	9721029
24	NeST_insilico	mdr.fa	1000	40102	0.005	0.05	NeST_insilico5083666	5083666
25	NeST_insilico	mdr.fa	100	4010	0.01	0.5	NeST_insilico5910982	5910982
26	NeST_insilico	mdr.fa	500	20051	0.01	0.5	NeST_insilico3324339	3324339
27	NeST_insilico	mdr.fa	1000	40102	0.01	0.5	NeST_insilico6877011	6877011
28	NeST_insilico	mdr.fa	100	4010	0.01	0.25	NeST_insilico1015940	1015940
29	NeST_insilico	mdr.fa	500	20051	0.01	0.25	NeST_insilico6611669	6611669
30	NeST_insilico	mdr.fa	1000	40102	0.01	0.25	NeST_insilico1285016	1285016
31	NeST_insilico	mdr.fa	100	4010	0.01	0.1	NeST_insilico7337557	7337557
32	NeST_insilico	mdr.fa	500	20051	0.01	0.1	NeST_insilico6378279	6378279
33	NeST_insilico	mdr.fa	1000	40102	0.01	0.1	NeST_insilico2869888	2869888
34	NeST_insilico	mdr.fa	100	4010	0.01	0.05	NeST_insilico8792549	8792549
35	NeST_insilico	mdr.fa	500	20051	0.01	0.05	NeST_insilico7969134	7969134
36	NeST_insilico	mdr.fa	1000	40102	0.01	0.05	NeST_insilico6916399	6916399
37	NeST_insilico	mdr.fa	100	4010	0.001	0.5	NeST_insilico4327591	4327591
38	NeST_insilico	mdr.fa	500	20051	0.001	0.5	NeST_insilico7863329	7863329
39	NeST_insilico	mdr.fa	1000	40102	0.001	0.5	NeST_insilico6447416	6447416
40	NeST_insilico	mdr.fa	100	4010	0.001	0.25	NeST_insilico2629014	2629014
41	NeST_insilico	mdr.fa	500	20051	0.001	0.25	NeST_insilico9590168	9590168
42	NeST_insilico	mdr.fa	1000	40102	0.001	0.25	NeST_insilico432947	432947
43	NeST_insilico	mdr.fa	100	4010	0.001	0.1	NeST_insilico8965896	8965896
44	NeST_insilico	mdr.fa	500	20051	0.001	0.1	NeST_insilico9717032	9717032
45	NeST_insilico	mdr.fa	1000	40102	0.001	0.1	NeST_insilico2241143	2241143
46	NeST_insilico	mdr.fa	100	4010	0.001	0.05	NeST_insilico210221	210221
47	NeST_insilico	mdr.fa	500	20051	0.001	0.05	NeST_insilico3581373	3581373
48	NeST_insilico	mdr.fa	1000	40102	0.001	0.05	NeST_insilico6702768	6702768
49	NeST_insilico	mdr.fa	100	4010	0.005	0.5	NeST_insilico1032307	1032307
50	NeST_insilico	mdr.fa	500	20051	0.005	0.5	NeST_insilico9815958	9815958
51	NeST_insilico	mdr.fa	1000	40102	0.005	0.5	NeST_insilico3533632	3533632
52	NeST_insilico	mdr.fa	100	4010	0.005	0.25	NeST_insilico8822143	8822143
53	NeST_insilico	mdr.fa	500	20051	0.005	0.25	NeST_insilico8190346	8190346
54	NeST_insilico	mdr.fa	1000	40102	0.005	0.25	NeST_insilico3933051	3933051
55	NeST_insilico	mdr.fa	100	4010	0.005	0.1	NeST_insilico6407309	6407309
56	NeST_insilico	mdr.fa	500	20051	0.005	0.1	NeST_insilico2044204	2044204
57	NeST_insilico	mdr.fa	1000	40102	0.005	0.1	NeST_insilico1811305	1811305
58	NeST_insilico	mdr.fa	100	4010	0.005	0.05	NeST_insilico2960324	2960324
59	NeST_insilico	mdr.fa	500	20051	0.005	0.05	NeST_insilico7307404	7307404
60	NeST_insilico	mdr.fa	1000	40102	0.005	0.05	NeST_insilico3868600	3868600
61	NeST_insilico	mdr.fa	100	4010	0.01	0.5	NeST_insilico4379058	4379058
62	NeST_insilico	mdr.fa	500	20051	0.01	0.5	NeST_insilico5771666	5771666
63	NeST_insilico	mdr.fa	1000	40102	0.01	0.5	NeST_insilico5368220	5368220
64	NeST_insilico	mdr.fa	100	4010	0.01	0.25	NeST_insilico7755893	7755893
65	NeST_insilico	mdr.fa	500	20051	0.01	0.25	NeST_insilico1461492	1461492
66	NeST_insilico	mdr.fa	1000	40102	0.01	0.25	NeST_insilico2449836	2449836
67	NeST_insilico	mdr.fa	100	4010	0.01	0.1	NeST_insilico3645115	3645115
68	NeST_insilico	mdr.fa	500	20051	0.01	0.1	NeST_insilico4917372	4917372
69	NeST_insilico	mdr.fa	1000	40102	0.01	0.1	NeST_insilico7532377	7532377
70	NeST_insilico	mdr.fa	100	4010	0.01	0.05	NeST_insilico2694695	2694695
71	NeST_insilico	mdr.fa	500	20051	0.01	0.05	NeST_insilico5543534	5543534
72	NeST_insilico	mdr.fa	1000	40102	0.01	0.05	NeST_insilico1392734	1392734
73	NeST_insilico	mdr.fa	100	4010	0.001	0.5	NeST_insilico5253857	5253857
74	NeST_insilico	mdr.fa	500	20051	0.001	0.5	NeST_insilico8279907	8279907
75	NeST_insilico	mdr.fa	1000	40102	0.001	0.5	NeST_insilico1020762	1020762
76	NeST_insilico	mdr.fa	100	4010	0.001	0.25	NeST_insilico1596799	1596799
77	NeST_insilico	mdr.fa	500	20051	0.001	0.25	NeST_insilico3908472	3908472
78	NeST_insilico	mdr.fa	1000	40102	0.001	0.25	NeST_insilico8325037	8325037
79	NeST_insilico	mdr.fa	100	4010	0.001	0.1	NeST_insilico7383182	7383182
80	NeST_insilico	mdr.fa	500	20051	0.001	0.1	NeST_insilico6853790	6853790
81	NeST_insilico	mdr.fa	1000	40102	0.001	0.1	NeST_insilico5806578	5806578
82	NeST_insilico	mdr.fa	100	4010	0.001	0.05	NeST_insilico7655069	7655069
83	NeST_insilico	mdr.fa	500	20051	0.001	0.05	NeST_insilico7777797	7777797
84	NeST_insilico	mdr.fa	1000	40102	0.001	0.05	NeST_insilico55008	55008
85	NeST_insilico	mdr.fa	100	4010	0.005	0.5	NeST_insilico1266677	1266677
86	NeST_insilico	mdr.fa	500	20051	0.005	0.5	NeST_insilico922665	922665
87	NeST_insilico	mdr.fa	1000	40102	0.005	0.5	NeST_insilico543365	543365
88	NeST_insilico	mdr.fa	100	4010	0.005	0.25	NeST_insilico1938224	1938224
89	NeST_insilico	mdr.fa	500	20051	0.005	0.25	NeST_insilico4321286	4321286
90	NeST_insilico	mdr.fa	1000	40102	0.005	0.25	NeST_insilico1231167	1231167
91	NeST_insilico	mdr.fa	100	4010	0.005	0.1	NeST_insilico7114677	7114677
92	NeST_insilico	mdr.fa	500	20051	0.005	0.1	NeST_insilico6878935	6878935
93	NeST_insilico	mdr.fa	1000	40102	0.005	0.1	NeST_insilico7842794	7842794
94	NeST_insilico	mdr.fa	100	4010	0.005	0.05	NeST_insilico235823	235823
95	NeST_insilico	mdr.fa	500	20051	0.005	0.05	NeST_insilico1327026	1327026
96	NeST_insilico	mdr.fa	1000	40102	0.005	0.05	NeST_insilico9674376	9674376
97	NeST_insilico	mdr.fa	100	4010	0.01	0.5	NeST_insilico9670168	9670168
98	NeST_insilico	mdr.fa	500	20051	0.01	0.5	NeST_insilico2536473	2536473
99	NeST_insilico	mdr.fa	1000	40102	0.01	0.5	NeST_insilico7796478	7796478
100	NeST_insilico	mdr.fa	100	4010	0.01	0.25	NeST_insilico3121821	3121821
101	NeST_insilico	mdr.fa	500	20051	0.01	0.25	NeST_insilico7781217	7781217
102	NeST_insilico	mdr.fa	1000	40102	0.01	0.25	NeST_insilico5416164	5416164
103	NeST_insilico	mdr.fa	100	4010	0.01	0.1	NeST_insilico3013207	3013207
104	NeST_insilico	mdr.fa	500	20051	0.01	0.1	NeST_insilico5385958	5385958
105	NeST_insilico	mdr.fa	1000	40102	0.01	0.1	NeST_insilico3240638	3240638
106	NeST_insilico	mdr.fa	100	4010	0.01	0.05	NeST_insilico3200231	3200231
107	NeST_insilico	mdr.fa	500	20051	0.01	0.05	NeST_insilico5205809	5205809
108	NeST_insilico	mdr.fa	1000	40102	0.01	0.05	NeST_insilico5558639	5558639
